ID,Start_Lat,Start_Lng,State,County,City
A-167322,41.799076,-87.802094,IL,Cook,Berwyn
A-167323,41.874142,-87.719757,IL,Cook,Chicago
A-167324,41.929115,-87.792938,IL,Cook,Elmwood Park
A-167336,41.720947,-87.682076,IL,Cook,Evergreen Park
A-167352,41.962776,-87.746399,IL,Cook,Chicago
A-167356,41.709782,-87.779579,IL,Cook,Chicago Ridge
A-167371,41.755817,-87.663597,IL,Cook,Chicago
A-167375,42.00539000000001,-88.14473000000002,IL,Cook,Hanover Park
A-167377,41.981133,-87.878822,IL,Cook,Chicago
A-167380,41.783321,-87.649757,IL,Cook,Chicago
A-167384,41.848278,-87.695335,IL,Cook,Chicago
A-167395,41.871822,-87.74166899999999,IL,Cook,Chicago
A-167398,41.9202,-87.674088,IL,Cook,Chicago
A-167400,41.634327,-87.578384,IL,Cook,Calumet City
A-167401,41.719749,-87.760345,IL,Cook,Oak Lawn
A-167402,41.600929,-87.681229,IL,Cook,Markham
A-167407,41.903248,-87.67484300000002,IL,Cook,Chicago
A-167408,41.735962,-87.632675,IL,Cook,Chicago
A-167416,41.578342,-87.63709300000002,IL,Cook,Hazel Crest
A-167420,41.873383,-87.803375,IL,Cook,Oak Park
A-167424,41.74654,-87.845055,IL,Cook,Justice
A-167427,41.837147,-87.623405,IL,Cook,Chicago
A-167438,41.997215,-87.67038000000002,IL,Cook,Chicago
A-167455,41.883087,-87.816177,IL,Cook,River Forest
A-167467,41.729019,-87.624779,IL,Cook,Chicago
A-167469,41.852894,-87.63095899999998,IL,Cook,Chicago
A-167470,41.794388,-87.770721,IL,Cook,Chicago
A-167471,41.823723,-87.630302,IL,Cook,Chicago
A-167474,41.925018,-87.68318199999999,IL,Cook,Chicago
A-167475,41.586288,-87.687347,IL,Cook,Markham
A-167480,41.701897,-87.787491,IL,Cook,Chicago Ridge
A-167484,41.62278,-87.578896,IL,Cook,Calumet City
A-167485,41.995152,-88.165894,IL,Cook,Hanover Park
A-167486,42.066662,-88.144684,IL,Cook,Hoffman Estates
A-167488,41.984241,-87.83669300000004,IL,Cook,Chicago
A-167490,41.953667,-87.72760799999998,IL,Cook,Chicago
A-167491,42.008129,-88.203148,IL,Cook,Bartlett
A-167502,41.924728,-87.707176,IL,Cook,Chicago
A-167511,41.918369,-87.919342,IL,Cook,Melrose Park
A-167514,41.877571,-87.9188,IL,Cook,Berkeley
A-167523,41.99332800000001,-87.866325,IL,Cook,Des Plaines
A-167529,41.875328,-87.701065,IL,Cook,Chicago
A-167533,41.780174,-87.91667199999998,IL,Cook,Willowbrook
A-167545,41.809227,-87.631454,IL,Cook,Chicago
A-167561,41.717617,-87.851295,IL,Cook,Palos Hills
A-167565,41.999073,-88.133934,IL,Cook,Hanover Park
A-167566,41.885754,-87.639832,IL,Cook,Chicago
A-167570,41.711109,-87.79819499999998,IL,Cook,Chicago Ridge
A-167614,41.959366,-87.83669300000004,IL,Cook,Harwood Heights
A-167615,41.528011,-87.732574,IL,Cook,Matteson
A-167621,41.946747,-87.68824000000002,IL,Cook,Chicago
A-167622,41.662937,-87.662582,IL,Cook,Calumet Park
A-167623,42.086674,-88.03138,IL,Cook,Rolling Meadows
A-167625,41.721344,-87.65065799999998,IL,Cook,Chicago
A-167635,41.972916,-87.74793199999998,IL,Cook,Chicago
A-167640,42.063751,-88.07938399999998,IL,Cook,Schaumburg
A-167646,41.869602,-87.917007,IL,Cook,Hillside
A-167647,42.040184,-87.982613,IL,Cook,Arlington Heights
A-167648,41.910694,-87.66499300000002,IL,Cook,Chicago
A-167652,41.556419,-87.764061,IL,Cook,Tinley Park
A-167667,42.030441,-88.236801,IL,Cook,Elgin
A-167677,41.913094,-87.626335,IL,Cook,Chicago
A-167715,41.837391,-87.670197,IL,Cook,Chicago
A-167724,41.76165,-87.867538,IL,Cook,La Grange
A-167728,41.748867,-87.757584,IL,Cook,Burbank
A-167741,41.626064,-87.691399,IL,Cook,Posen
A-167763,41.751728,-87.56624599999998,IL,Cook,Chicago
A-167765,42.150791,-87.873451,IL,Cook,Northbrook
A-167779,41.765137,-87.649284,IL,Cook,Chicago
A-167787,42.137955,-87.78840600000002,IL,Cook,Glencoe
A-167802,42.013367,-88.144661,IL,Cook,Hanover Park
A-167806,42.010075,-87.868378,IL,Cook,Des Plaines
A-167808,41.848221,-87.612549,IL,Cook,Chicago
A-167833,41.99453,-88.21835300000002,IL,Cook,Bartlett
A-167849,41.990494,-88.15728,IL,Cook,Hanover Park
A-167863,41.818588,-87.91439100000002,IL,Cook,Hinsdale
A-167866,41.564556,-87.85186800000002,IL,Cook,Tinley Park
A-167879,41.686256,-87.60137900000002,IL,Cook,Chicago
A-167907,41.867161,-87.644508,IL,Cook,Chicago
A-167941,41.99823,-87.959412,IL,Cook,Elk Grove Village
A-167942,42.053616,-87.868652,IL,Cook,Des Plaines
A-167963,41.733089,-87.79905699999998,IL,Cook,Bridgeview
A-167965,41.997974,-88.080109,IL,Cook,Schaumburg
A-167973,42.10601,-87.868179,IL,Cook,Northbrook
A-167975,41.941013,-87.71249399999998,IL,Cook,Chicago
A-167984,42.035637,-88.26039899999998,IL,Cook,Elgin
A-167987,42.005322,-87.74814599999998,IL,Cook,Lincolnwood
A-167989,41.574474,-87.837967,IL,Cook,Tinley Park
A-168009,41.50621,-87.577499,IL,Cook,Chicago Heights
A-168022,42.005428,-87.89409599999998,IL,Cook,Des Plaines
A-168027,41.945679,-87.786293,IL,Cook,Chicago
A-168038,42.008343,-88.15933199999998,IL,Cook,Streamwood
A-168039,42.046616,-88.238457,IL,Cook,Elgin
A-168042,42.015331,-87.806602,IL,Cook,Niles
A-168053,42.03912,-87.868408,IL,Cook,Des Plaines
A-168055,41.906471,-87.919655,IL,Cook,Melrose Park
A-168058,41.76091,-87.892639,IL,Cook,La Grange
A-168086,41.66272,-87.738586,IL,Cook,Alsip
A-168114,41.850372,-87.744247,IL,Cook,Cicero
A-168142,41.786919,-87.630852,IL,Cook,Chicago
A-168161,41.718891,-87.80677800000002,IL,Cook,Hickory Hills
A-168163,41.994576,-88.20656600000002,IL,Cook,Bartlett
A-168167,42.117699,-87.972801,IL,Cook,Arlington Heights
A-168170,41.835815,-87.803101,IL,Cook,Berwyn
A-168174,41.982594,-87.789963,IL,Cook,Chicago
A-168188,41.758385,-87.615128,IL,Cook,Chicago
A-168199,41.723022,-87.662743,IL,Cook,Chicago
A-168200,41.550949,-87.789772,IL,Cook,Tinley Park
A-168205,42.055599,-88.079636,IL,Cook,Schaumburg
A-168215,41.613945,-87.579033,IL,Cook,Dolton
A-168222,42.012993,-88.21759,IL,Cook,Elgin
A-168230,41.778896,-87.707977,IL,Cook,Chicago
A-168231,41.954678,-87.6446,IL,Cook,Chicago
A-168259,41.847782,-87.91893,IL,Cook,Hillside
A-168290,41.890003,-87.917778,IL,Cook,Berkeley
A-168343,41.87146,-87.833031,IL,Cook,Forest Park
A-168345,41.892471,-87.65323599999998,IL,Cook,Chicago
A-168347,42.01847100000001,-88.237045,IL,Cook,Elgin
A-168354,41.940491,-87.638283,IL,Cook,Chicago
A-168361,41.997784,-87.68624100000002,IL,Cook,Chicago
A-168377,41.660339,-87.588982,IL,Cook,Chicago
A-168381,41.687798,-87.930862,IL,Cook,Lemont
A-168382,41.622669,-87.623222,IL,Cook,South Holland
A-168396,41.991917,-88.046165,IL,Cook,Roselle
A-168409,42.101398,-87.767769,IL,Cook,Winnetka
A-168420,42.048542,-88.251793,IL,Cook,Elgin
A-168428,41.714523,-87.64312,IL,Cook,Chicago
A-168439,41.993389,-88.060654,IL,Cook,Roselle
A-168451,41.495544,-87.577667,IL,Cook,Chicago Heights
A-168496,41.802418,-87.789238,IL,Cook,Chicago
A-168515,41.951477,-87.897072,IL,Cook,Franklin Park
A-168538,41.876465,-87.645416,IL,Cook,Chicago
A-168581,41.832413,-87.694962,IL,Cook,Chicago
