ID,Start_Lat,Start_Lng,State,County,City
A-3455319,38.42758,-90.17725,IL,Monroe,Columbia
A-3453276,42.47571,-87.824327,IL,Lake,Winthrop Harbor
A-167599,41.519527,-90.513084,IL,Rock Island,Rock Island
A-167978,39.42775,-87.56031,IL,Clark,Marshall
A-3451706,40.31157,-89.171095,IL,McLean,Mc Lean
A-3455140,40.77045,-87.52601999999997,IL,Iroquois,Sheldon
A-3447416,41.85325,-89.01044,IL,Lee,Steward
A-168828,38.512371,-88.960091,IL,Marion,Centralia
A-3453708,39.73995,-89.93028000000002,IL,Sangamon,New Berlin
A-168239,41.511154,-88.12439,IL,Will,Joliet
A-167716,40.121273,-88.173622,IL,Champaign,Urbana
A-168011,42.192738,-89.996674,IL,Carroll,Mount Carroll
A-3447261,39.11993,-88.54082,IL,Effingham,Effingham
A-3452329,42.33893,-88.51126,IL,McHenry,Woodstock
A-3449065,38.802187,-89.598551,IL,Bond,Pocahontas
A-168810,40.801727,-89.63104200000002,IL,Peoria,Peoria
A-3455435,41.86758,-87.61888,IL,Cook,Chicago
A-167713,41.307579,-88.702217,IL,La Salle,Marseilles
A-3454501,41.40012,-89.38887,IL,Bureau,Princeton
A-168797,40.113693,-87.610176,IL,Vermilion,Danville
A-167896,42.275291,-89.446815,IL,Winnebago,Pecatonica
A-3454231,40.20293,-89.71576,IL,Mason,Mason City
A-3453648,42.048567,-88.098589,IL,Cook,Schaumburg
A-3453608,41.75275900000001,-89.760951,IL,Whiteside,Rock Falls
A-167534,42.456841,-88.995193,IL,Winnebago,Roscoe
A-3449512,39.83659,-89.26122,IL,Sangamon,Illiopolis
A-3454440,41.390223,-87.626513,IL,Will,Beecher
A-168201,40.251324,-88.625046,IL,De Witt,Farmer City
A-3453532,41.855144,-88.520103,IL,Kane,Elburn
A-167974,39.255646,-88.15365600000001,IL,Cumberland,Greenup
A-3448477,38.75677,-89.992855,IL,Madison,Glen Carbon
A-168301,38.456043,-89.561287,IL,Washington,Okawville
A-167855,42.393929,-88.155739,IL,Lake,Fox Lake
A-168295,41.093536,-88.450775,IL,Livingston,Dwight
A-168394,41.771507,-87.935661,IL,DuPage,Willowbrook
A-3448148,42.13913,-87.78935,IL,Cook,Glencoe
A-168481,41.168598,-87.851341,IL,Kankakee,Bourbonnais
A-3453085,42.01096,-89.296274,IL,Ogle,Oregon
A-3452413,41.602427,-89.178414,IL,Lee,Sublette
A-3449079,39.69517000000001,-89.64217,IL,Sangamon,Springfield
A-3448559,42.230174,-88.776038,IL,Boone,Belvidere
A-167807,41.801056,-88.240112,IL,DuPage,Aurora
A-168289,40.581898,-89.141144,IL,McLean,Carlock
A-168309,41.277802,-88.255676,IL,Grundy,Coal City
A-167611,40.627983,-89.431679,IL,Tazewell,Morton
A-167997,39.895084,-89.005569,IL,Macon,Decatur
A-3452254,42.139198,-88.345671,IL,Kane,Dundee
A-3447299,39.98989,-89.845065,IL,Menard,Petersburg
A-168279,41.941345,-88.749619,IL,Dekalb,Dekalb
A-167741,41.626064,-87.691399,IL,Cook,Posen
A-168955,42.237892,-89.077141,IL,Winnebago,Rockford
A-168299,40.161224,-89.33985899999998,IL,Logan,Lincoln
A-3448289,42.283098,-87.964794,IL,Lake,Libertyville
A-167571,41.535027,-87.886421,IL,Will,Mokena
A-3449776,41.667705,-88.44189899999998,IL,Kendall,Yorkville
A-3446722,38.62588,-90.16449,IL,St. Clair,East Saint Louis
A-3446658,41.95352000000001,-87.85664,IL,Cook,Schiller Park
A-3448331,41.156947,-87.656273,IL,Kankakee,Momence
A-3447330,39.951676,-88.26768100000002,IL,Champaign,Tolono
A-168310,39.051952,-88.719635,IL,Effingham,Altamont
A-3451341,42.151276,-88.536829,IL,Kane,Hampshire
A-168300,38.535446,-89.728699,IL,St. Clair,New Baden
A-167685,41.978024,-88.26945500000002,IL,Kane,Elgin
A-3449576,39.939083,-89.674192,IL,Sangamon,Cantrall
A-168670,41.87632,-88.078094,IL,Dupage,Glen Ellyn
A-167969,41.577045,-87.525261,IL,Cook,Lansing
A-3451883,42.466011,-87.997196,IL,Lake,Antioch
A-168651,42.479767,-88.30606800000002,IL,Mchenry,Richmond
A-168858,41.367634,-89.218948,IL,Bureau,Dalzell
A-3448451,38.497204,-90.01979399999998,IL,St. Clair,Belleville
A-168383,42.21207800000001,-88.141296,IL,Lake,Barrington
A-167470,41.794388,-87.770721,IL,Cook,Chicago
A-3450407,41.32838,-87.81929000000002,IL,Will,Peotone
A-168801,41.377228,-88.556168,IL,Grundy,Morris
A-3451764,41.57953,-90.36463,IL,Rock Island,East Moline
A-167447,42.371204,-88.851547,IL,Boone,Poplar Grove
A-3453646,42.10986,-87.94645,IL,Cook,Arlington Heights
A-168373,41.685043,-88.067947,IL,Will,Bolingbrook
A-3452326,41.48433,-87.74415,IL,Cook,Richton Park
A-3449078,42.01931,-87.700609,IL,Cook,Chicago
A-3454482,41.733312,-87.562661,IL,Cook,Chicago
A-168525,41.469276,-89.126991,IL,La Salle,Mendota
A-167760,41.622982,-88.20270500000002,IL,Will,Plainfield
A-167840,41.394768,-88.192879,IL,Will,Channahon
A-3452018,42.3596,-87.837055,IL,Lake,Waukegan
